accuracy,perf,self_box_accumulate_threshold_0,self_box_accumulate_decision_0,self_box_accumulate_decision_1,neighbor_box_accumulate_threshold_0,neighbor_box_accumulate_decision_0,neighbor_box_accumulate_decision_1
0.9773495970695854,2611.489,0,1,2,0,2,0
0.9773495970695854,2647.1368,0,4,2,0,0,0
0.9664081023543899,2636.9702,0,3,4,0,1,0
0.6802387933148619,1539.1276,0,1,4,0,2,3
0.8930132814229939,2634.9592,0,4,1,0,2,1
1.0,2551.435,0,1,1,0,3,0
0.970160760748179,2581.6156,0,1,3,0,3,0
0.9773495970695854,2385.7774,0,2,2,0,3,0
0.8759288466014837,2280.596,0,1,2,0,3,1
0.9773495970695854,2400.7394,0,1,2,0,3,0
1.0,2477.4990000000003,0,2,1,0,3,0
0.9773495970695854,2386.8661999999995,0,2,2,0,2,0
0.9773495970695854,2390.0772,0,3,2,0,3,0
0.9664081023543899,2199.0888000000004,0,2,4,0,3,0
0.970160760748179,2251.3302000000003,0,2,3,0,3,0
0.9773495970695854,2354.094,0,2,2,0,2,0
0.970160760748179,2354.8875999999996,0,2,3,0,3,0
0.9664081023543899,2419.855,0,2,4,0,1,0
0.9664081023543899,2391.3776,0,1,4,0,3,0
1.0,2443.1284,0,2,1,0,3,0
0.8675381162985026,2239.6246,0,2,4,0,3,1
0.6926323948218233,1401.7524,0,2,1,0,3,3
0.970160760748179,2203.4654,0,2,3,0,3,0
0.8675381162985026,2122.3244,0,2,4,0,3,1
0.970160760748179,2254.3652,0,2,3,0,3,0
0.9664081023543899,2247.3048,0,1,4,0,3,0
0.8675381162985026,2153.0388000000003,0,2,4,0,3,1
0.8675381162985026,2276.1234,0,2,4,0,3,1
0.9664081023543899,2378.3982,0,2,4,0,2,0
0.970160760748179,2430.2312,0,2,3,0,3,0
0.9664081023543899,2366.3586000000005,0,3,4,0,1,0
0.9664081023543899,2345.9970000000003,0,2,4,0,0,0
0.9664081023543899,2227.4413999999997,0,4,4,0,1,0
0.7918456314217027,1724.0566,0,1,3,0,1,2
0.8759288466014837,2134.7716,0,4,2,0,2,1
0.6802387933148619,1213.6172000000001,0,4,4,0,0,3
0.6843150657790682,1353.8327999999997,0,4,2,0,3,3
0.7918456314217027,1853.9690000000003,0,3,3,0,2,2
0.6802387933148619,1325.1026,0,3,4,0,3,3
0.8759288466014837,2290.7884000000004,0,1,2,0,2,1
0.789599938952432,1883.148,0,3,4,0,2,2
0.9664081023543899,2315.2382,0,1,4,0,3,0
0.789599938952432,1796.282,0,2,4,0,0,2
0.8704091133430347,2153.6992,0,2,3,0,3,1
0.8675381162985026,2162.7043999999996,0,2,4,0,3,1
0.8759288466014837,2130.353,0,3,2,0,3,1
0.6926323948218233,1314.0918000000001,0,1,1,0,1,3
0.6926323948218233,1310.8902,0,4,1,0,0,3
0.6926323948218233,1416.5436000000002,0,3,1,0,2,3
1.0,2456.3779999999997,0,1,1,0,0,0
0.8675381162985026,2267.6,0,2,4,0,3,1
0.8675381162985026,2231.6349999999998,0,2,4,0,3,1
0.9664081023543899,2248.7964,0,1,4,0,3,0
0.9664081023543899,2240.7580000000003,0,2,4,0,2,0
0.8675381162985026,2087.3028,0,2,4,0,3,1
0.9664081023543899,2218.5578,0,2,4,0,0,0
0.9664081023543899,2323.9746,0,2,4,0,0,0
0.9773495970695854,2410.4186,0,2,2,0,0,0
0.9664081023543899,2367.007,0,2,4,0,0,0
0.970160760748179,2373.6244,0,2,3,0,3,0
0.9664081023543899,2337.4147999999996,0,3,4,0,3,0
0.9773495970695854,2200.7311999999997,0,3,2,0,0,0
0.8930132814229939,2215.132,0,2,1,0,3,1
0.9773495970695854,2257.4554,0,2,2,0,3,0
0.6802387933148619,1255.7256000000002,0,2,4,0,3,3
0.9664081023543899,2244.1104,0,1,4,0,0,0
