accuracy,perf,score_term_over_docs_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,lowering_corpus_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,count_and_lower_words_threshold_0,count_and_lower_words_decision_0,count_and_lower_words_decision_1
0.667189483838784,7748.9448,27,1,0,3,3,1,573,1,0
0.7428740571809698,5738.065799999999,4,1,0,5,3,2,1,0,1
0.5689569693972616,7574.466,23,2,0,3,3,0,1,0,0
0.9181628553026909,7036.6228,13,1,0,5,0,2,8,0,1
0.4146767956045072,5540.224799999999,25,2,1,2,3,3,191,0,1
0.6181136662484852,5878.2924,17,2,1,2,2,2,156,0,1
0.9938321186550481,9830.3728,40,0,2,3,0,0,179,0,0
0.9282286808123459,9608.480399999999,12,2,0,5,0,2,92,0,0
0.7454998387554566,7693.9066,13,2,0,1,3,3,28,1,0
0.8991009157276096,8530.6906,8,2,0,5,1,3,11,1,0
0.8574306270461133,6139.017599999999,20,0,0,4,2,0,2,0,1
0.4039906722264129,5631.197,29,1,2,5,3,2,8,1,1
0.46483944261503585,6225.4226,11,2,2,3,1,1,129,0,1
0.6384228494350094,8646.4012,40,1,1,3,1,2,1,1,0
0.822032991622527,6502.6596,30,0,1,3,1,2,152,0,1
0.9443000548438732,8883.830600000001,4,0,0,4,1,3,233,1,0
0.5739699350065007,7988.535800000001,16,0,1,5,3,1,8,0,0
0.4630975003759518,8080.116,31,2,2,1,3,2,22,1,0
0.6832620228141227,9588.9004,33,1,2,4,0,3,28,0,0
0.7380335845724036,5870.5166,13,0,0,1,1,3,193,0,1
0.6204432616005537,9590.876999999999,25,2,1,4,0,3,2,0,0
0.6987690873936454,7170.6788,9,1,1,1,1,0,34,0,1
0.32667589390318497,5673.413,19,1,2,2,3,2,25,1,1
0.6212909020030685,6103.004800000001,11,1,1,1,2,2,12,0,1
0.6384228494350094,8698.108600000001,17,1,1,3,1,0,14,1,0
0.5503146519907434,9557.2906,40,2,1,3,0,3,525,1,0
0.8921639583123271,6625.618799999999,34,0,1,3,1,0,72,0,1
0.702431739200072,7645.4596,19,2,0,4,3,1,18,1,0
0.6671776946321539,7770.5212,24,1,0,4,3,1,156,1,0
0.7335295747010233,5590.0102,12,2,0,2,3,1,156,1,1
0.507802447393322,6831.299000000001,40,2,0,1,3,0,1,1,1
0.9282286808123459,9622.7696,12,2,0,5,0,2,92,0,0
0.7454998387554566,7695.4952,13,2,0,1,3,3,28,1,0
0.8991009157276096,8895.882800000001,8,2,0,5,1,3,11,1,0
0.8574306270461133,6319.781,20,0,0,4,2,0,2,0,1
0.4039906722264129,5651.361599999999,29,1,2,5,3,2,8,1,1
0.46483944261503585,6422.2646,11,2,2,3,1,1,129,0,1
0.6384228494350094,8687.2446,40,1,1,3,1,2,1,1,0
0.822032991622527,6693.7184,30,0,1,3,1,2,152,0,1
0.9443000548438732,8944.377599999998,4,0,0,4,1,3,233,1,0
0.5739699350065007,8136.888400000001,16,0,1,5,3,1,8,0,0
0.4630975003759518,8074.7084,31,2,2,1,3,2,22,1,0
0.6832620228141227,9647.887200000001,33,1,2,4,0,3,28,0,0
0.7380335845724036,5831.750599999999,13,0,0,1,1,3,193,0,1
0.6204432616005537,9484.387400000001,25,2,1,4,0,3,2,0,0
0.6987690873936454,7146.712400000001,9,1,1,1,1,0,34,0,1
0.32667589390318497,5611.463000000001,19,1,2,2,3,2,25,1,1
0.6212909020030685,6021.4806,11,1,1,1,2,2,12,0,1
