accuracy,perf,self_box_accumulate_threshold_0,self_box_accumulate_decision_0,self_box_accumulate_decision_1,neighbor_box_accumulate_threshold_0,neighbor_box_accumulate_decision_0,neighbor_box_accumulate_decision_1
0.7065130552491303,1239.5194,5,2,4,4,2,3
0.8277538233032915,1694.409,5,3,4,4,2,1
0.7271901693952307,1327.4257999999998,1,2,4,6,2,3
0.789599938952432,1485.6223999999997,1,2,4,8,2,2
0.7133738926763669,1354.0618,14,2,4,4,1,3
0.7065130552491303,1224.5372,1,4,4,4,2,3
0.7134864471062781,1394.3428,1,4,4,4,0,3
0.7119961824327627,1272.9098,67,4,1,4,2,3
0.7112834004463808,1268.3990000000001,1,4,2,4,2,3
0.7129098597946883,1376.2576000000001,1,4,4,4,1,3
0.7065130552491303,1261.7476000000001,10,4,4,4,2,3
0.7269122181589762,1480.9042,1,4,1,4,0,3
0.789599938952432,1502.5414,1,4,4,4,2,2
0.789599938952432,1516.5916000000002,1,4,4,1,2,2
0.789599938952432,1508.33,1,4,4,4,2,2
0.7065130552491303,1248.6187999999997,1,2,4,4,2,3
0.6802387933148619,1060.1712000000002,1,2,4,4,3,3
0.7145611749430435,1388.74,1,1,3,4,1,3
0.8277538233032915,1730.9491999999998,13,4,4,4,2,1
0.7065130552491303,1296.026,1,2,4,4,2,3
0.6847260101026396,1135.8236000000002,1,4,4,1,2,3
0.6802387933148619,1148.9616,1,4,4,4,3,3
0.7265923361745333,1512.0439999999999,5,3,4,5,3,1
0.8728968389979762,1873.093,36,4,4,1,0,1
0.8977343029127954,2035.182,4,2,1,1,0,1
0.8744313422367469,1944.7541999999999,29,1,3,2,1,1
0.853593177577175,1769.6698000000001,30,1,4,6,0,2
0.9786751335588025,2006.238,58,1,3,4,0,0
0.8558543056178707,1827.0885999999998,36,4,4,1,2,1
0.8795327703646745,1915.7396,36,1,4,1,0,1
0.6942590349075456,1221.5118,23,4,2,8,3,2
0.6802387933148619,1103.6699999999998,3,1,4,1,3,3
0.7061877882363226,1378.9792,96,2,1,7,3,1
0.8107100371745627,1664.0284,14,3,2,2,0,2
0.7267380915078879,1356.732,5,1,4,4,3,2
0.7909395119589352,1732.4934,1,4,3,2,3,1
0.9083241327900782,1980.212,2,4,1,7,1,0
0.6992629083207569,1354.4047999999998,29,4,1,8,3,0
0.7292492319164189,1568.4134000000001,39,2,3,5,3,1
0.8162948738564688,1650.6291999999999,1,2,1,1,0,2
0.6855302522225913,1208.4137999999998,1,3,3,1,1,3
0.6900842923884879,1325.8894,2,2,3,8,3,0
0.7792829653309226,1757.6122,25,1,3,3,3,0
0.8977343029127954,1920.2120000000002,1,2,1,1,0,1
0.8031181364922887,1601.9504000000002,2,2,2,1,0,2
0.8329599531653893,1716.8683999999998,1,2,1,3,0,2
0.6884059498494476,1175.0986,2,2,2,1,1,3
0.8031181364922887,1571.3844000000001,3,2,2,1,0,2
0.8204313938917747,1656.0324,2,1,2,3,0,2
0.811140176094731,1600.6242,2,2,2,2,0,2
0.8031181364922887,1586.0656,6,2,2,1,0,2
0.8031181364922887,1581.3008,4,2,2,1,0,2
0.8031181364922887,1576.6478,5,2,2,1,0,2
0.8031181364922887,1581.9326,5,2,2,1,0,2
0.8904381242814161,1911.0096,100,1,3,10,1,0
0.796166650195989,1532.8597999999997,6,2,2,9,2,2
0.7794972255393389,1671.0976000000003,3,4,1,3,3,1
0.7699536168651586,1629.2708,16,1,2,3,3,1
0.8886720930867167,1869.5904000000003,30,2,3,7,1,0
0.7988363592322139,1546.2192000000002,3,2,3,1,0,2
0.8031181364922887,1564.1076,4,2,2,1,0,2
0.8031181364922887,1566.5756000000001,4,2,2,1,0,2
0.8162948738564688,1606.3996,4,2,1,1,0,2
0.6859523891913154,1192.0700000000002,4,2,2,1,0,3
0.8031181364922887,1632.4018,2,2,2,1,0,2
0.8031181364922887,1659.2345999999998,3,2,2,1,0,2
0.6856582542011749,1203.8786,100,2,3,1,0,3
0.8031181364922887,1620.4208,4,3,2,1,0,2
0.8031181364922887,1622.3744,3,2,2,1,0,2
0.811140176094731,1634.521,5,2,2,2,0,2
0.8262896500884157,1696.3310000000001,5,2,3,6,2,0
0.811140176094731,1638.8772000000001,4,2,2,2,0,2
0.8031181364922887,1578.1508,5,2,2,1,0,2
0.8162948738564688,1589.3286,4,2,1,1,0,2
0.9022600407537237,1866.4112,3,2,3,5,0,1
0.8811427903790413,1824.2862,1,1,2,1,0,1
0.6926323948218233,1115.5618,3,2,1,8,3,3
0.727685151382354,1336.6182000000001,20,2,4,6,2,3
0.8811427903790413,1860.7288,4,3,2,1,0,1
0.9773495970695854,1888.248,4,2,2,1,0,0
0.8031181364922887,1549.3283999999999,18,2,2,1,0,2
0.9773495970695854,1936.9872,4,2,2,1,0,0
0.8811427903790413,1824.0325999999998,18,2,2,1,0,1
0.9773495970695854,1929.1667999999997,18,2,2,10,0,0
0.8918710531859995,1837.1650000000002,18,4,2,8,0,2
0.796166650195989,1482.0790000000002,18,2,2,1,2,2
0.6859523891913154,1160.8136,18,2,2,1,0,3
0.7966074931398771,1539.8084,5,2,4,1,0,2
0.8031181364922887,1562.1386,1,2,2,1,0,2
0.8068730487014303,1570.7441999999999,37,1,2,1,0,2
0.9022600407537237,1880.0544000000002,7,2,3,5,0,1
0.8204313938917747,1657.4612000000002,25,2,2,3,0,2
0.8031181364922887,1551.1632000000002,7,2,2,1,0,2
0.807332398110535,1600.5678,18,2,3,2,0,2
0.8759288466014837,1876.816,2,2,2,4,1,1
0.8307746390539057,1656.0023999999999,5,2,2,4,0,2
0.8997601568522133,1886.2043999999999,5,2,2,4,0,1
0.886804735827805,1860.3162,8,2,2,2,0,1
0.804342575239988,1521.7728,12,1,2,1,0,2
0.8031181364922887,1552.622,13,2,2,1,0,2
0.8031181364922887,1580.5804,21,2,2,1,0,2
0.8031181364922887,1543.7608,16,2,2,1,0,2
0.8031181364922887,1553.3187999999998,12,2,2,1,0,2
0.8031181364922887,1566.312,12,2,2,1,0,2
0.8811427903790413,1853.1394,9,1,2,1,0,1
0.882632992398307,1827.4224,12,1,2,1,0,1
0.813606140421669,1626.2758,6,1,2,3,1,2
0.8123440429203933,1611.5664000000002,12,1,2,2,0,2
0.8031181364922887,1520.9124,7,1,2,1,0,2
0.8162948738564688,1604.3669999999997,12,1,1,1,0,2
0.8811427903790413,1851.2254,9,1,2,1,0,1
0.8215998320865587,1612.8479999999997,11,1,2,3,0,2
0.8811427903790413,1837.0836,7,1,2,1,0,1
0.8031181364922887,1561.6868,9,1,2,1,0,2
0.8811427903790413,1816.9686000000002,2,1,2,1,0,1
0.811140176094731,1581.7491999999997,9,1,2,2,0,2
0.811140176094731,1603.703,7,1,2,2,0,2
0.6867938525121634,1178.276,15,1,2,1,0,3
0.811140176094731,1580.469,6,1,2,2,0,2
0.811140176094731,1596.2454,7,1,2,2,0,2
0.811140176094731,1609.8637999999999,7,1,2,2,0,2
0.8031181364922887,1524.6794,8,1,2,1,0,2
0.8515413827640499,1750.6514,27,4,2,2,2,1
0.928693137658736,1935.7826,2,2,1,4,1,0
0.9607196345778888,1932.9014,16,4,1,1,1,0
0.8204313938917747,1644.9602,1,2,2,3,0,2
0.7966074931398771,1543.3144,7,1,4,1,0,2
0.8134962010701937,1584.8546000000001,82,1,2,1,0,2
0.8811427903790413,1875.7214,7,1,2,1,0,1
0.8031181364922887,1572.6994,1,1,2,1,0,2
0.8031181364922887,1555.0345999999997,7,2,2,1,0,2
0.8031181364922887,1550.4834,9,1,2,1,0,2
0.7988363592322139,1549.5692,7,1,3,1,0,2
0.8027820209507344,1558.6435999999999,11,1,2,1,1,2
0.8031181364922887,1521.8934000000002,3,1,2,1,0,2
0.7988363592322139,1538.2636,4,1,3,1,0,2
0.804342575239988,1567.851,12,1,2,1,0,2
0.8031181364922887,1552.2386000000001,6,1,2,1,0,2
0.853108782537397,1777.9368000000002,5,2,2,2,2,1
0.796166650195989,1515.2818,6,2,2,3,2,2
0.6859523891913154,1172.6358,7,1,2,1,0,3
0.8015286832565977,1527.068,7,1,2,1,1,2
0.8728535113171653,1817.5600000000002,8,4,4,9,1,0
0.9773495970695854,1922.1392,2,2,2,1,0,0
0.7934525767614454,1483.6286,12,1,3,10,2,0
0.9019489192173358,1884.4276000000002,42,1,1,2,2,0
0.6930220039093584,1248.6894,1,4,2,2,0,3
0.6843150657790682,1065.8376,1,3,2,10,3,2
0.6884863313501814,1212.9786,4,1,4,2,0,3
0.8039686385140883,1540.0952000000002,43,2,1,1,2,2
0.7272677953682736,1445.2488,5,4,4,5,1,3
0.8976876174190418,1867.2202000000002,97,1,1,9,1,0
0.7967837396889543,1525.9953999999998,78,4,2,9,2,1
0.8030533449775108,1554.8772000000001,17,2,2,9,2,0
0.8976876174190418,1870.9900000000002,100,1,1,9,1,0
0.8976876174190418,1876.3884000000003,74,1,1,9,1,0
0.8976876174190418,1892.4137999999998,57,1,1,9,1,0
0.8825959099987417,1827.993,97,2,1,9,1,0
0.8976876174190418,1873.7228,7,1,1,9,1,0
0.9028747583200181,1913.9437999999998,97,1,1,8,1,0
0.8976876174190418,1890.3701999999998,24,1,1,9,1,0
0.8948125495409356,1903.3002000000001,97,1,4,9,1,0
0.7452528248176671,1550.7752,8,2,3,4,3,1
0.710927806840951,1265.4772,2,4,2,6,3,2
0.7837681853477816,1820.2286,50,4,1,7,0,3
0.8869556653184528,1939.2744000000002,5,4,4,2,2,0
0.8240449709748277,1691.1828,97,1,1,8,2,0
0.9083241327900782,1979.4207999999999,97,1,1,7,1,0
0.9630409865507525,2054.7832000000003,4,1,1,1,1,0
0.7021381069936665,1327.4066,3,1,1,8,3,0
0.7068170900319397,1255.1284,67,4,3,6,3,2
0.7181992024989178,1435.1350000000002,32,1,3,4,1,3
0.6982822843808059,1233.0708,39,3,4,7,3,2
0.8946810211293836,1863.5944,1,1,3,4,0,1
0.8834091517212805,1878.9128,97,3,1,8,1,0
0.9000718296085883,1936.516,97,1,4,8,1,0
0.8976876174190418,1887.5112000000001,97,1,1,9,1,0
0.8684130467778834,1846.1644000000001,97,1,1,8,1,2
0.7124056224672946,1394.1726000000003,96,4,4,6,3,1
0.6822349872833242,1076.1126,58,4,2,5,3,3
0.8148853866286043,1621.8026000000002,12,1,2,3,1,2
0.8010457102490939,1540.7027999999998,46,4,1,7,2,2
0.8790209901866144,1844.1191999999999,97,4,3,8,1,0
0.9000718296085883,1868.9246000000003,97,1,4,8,1,0
0.9374974576899646,1971.8455999999999,97,1,1,3,1,0
0.7879161547880829,1754.2844,97,1,1,3,3,0
0.9011002894884621,1913.4269999999997,97,1,2,8,1,0
0.8787465895106701,1840.9908,2,1,4,8,1,0
0.8859859898668352,1798.1399999999999,97,2,4,8,1,0
0.8195178263143976,1614.8937999999998,97,1,2,8,2,1
0.9891069045675716,1976.0167999999999,97,1,4,1,0,0
0.9320047558267481,1909.0326,10,1,3,2,1,0
0.8675381162985026,1838.9399999999998,97,4,4,8,1,1
0.8787465895106701,1832.1925999999999,7,1,4,8,1,0
0.6978569846186254,1291.3724,32,4,1,8,3,0
0.7006806445766784,1284.2441999999999,97,1,4,8,3,0
0.7135847400980785,1371.9428,97,1,4,3,1,3
0.9004365772075748,1950.2309999999998,97,1,3,8,1,0
0.7167260915344938,1386.3404000000003,16,4,2,6,3,1
0.9043861411375869,1900.1412,65,1,4,6,1,0
0.8973572911935136,1931.0351999999998,86,1,4,8,1,0
0.8947623407173158,1885.7567999999999,71,1,4,8,1,0
0.8658309320036011,1828.5358,97,1,4,8,1,2
0.8787465895106701,1860.2566,1,1,4,8,1,0
0.905598313410543,1905.8424000000002,97,1,4,7,1,0
0.8812490932614295,1834.4702000000002,97,3,4,8,1,0
0.805807670766842,1600.2928,54,4,3,2,0,2
0.7416634841300517,1398.0221999999999,26,2,3,3,3,2
0.8759288466014837,1897.7686,81,2,2,1,1,1
0.7311482604705593,1352.4452,39,1,1,5,2,3
0.6802387933148619,1067.5572000000002,100,4,4,10,3,0
0.8082766397056854,1627.2502,23,1,4,8,2,0
0.9891069045675716,1957.5908,97,1,4,8,0,0
0.9028747583200181,1906.6386000000002,97,1,1,8,1,0
0.7177225065335585,1403.8898,3,4,2,4,1,3
0.8851714338620699,1851.5295999999998,32,1,4,8,1,0
0.8898210498485499,1859.3878,57,1,4,8,1,0
0.8867659710547777,1861.8750000000005,67,1,4,9,1,0
0.8141070057220563,1609.8845999999999,100,4,4,3,0,2
0.8787465895106701,1822.5168,1,1,4,8,1,0
0.8898210498485499,1896.886,51,1,4,8,1,0
0.8701182132789376,1844.1522,97,3,4,8,1,1
0.7131237617283106,1379.2748,1,4,1,3,0,3
0.6899353452904005,1120.803,24,4,1,10,3,2
0.8704091133430347,1861.7466,2,3,3,5,1,1
0.8818841135465633,1836.4149999999997,63,4,2,8,1,0
0.7177225065335585,1410.078,4,4,2,4,1,3
0.9461573353527974,1974.4628,97,1,4,2,1,0
0.8812490932614295,1823.1680000000001,97,3,4,8,1,0
0.8859859898668352,1854.7720000000002,97,2,4,8,1,0
0.6815296205909948,1159.6044000000002,7,4,4,1,0,3
0.8874431592607127,1858.1456000000003,50,1,4,8,1,0
0.9029730943789808,1920.3962,82,1,4,7,1,0
0.8859859898668352,1890.1252,97,2,4,8,1,0
0.7954949942522009,1496.5176,14,4,2,5,2,2
0.7640642200433387,1649.693,2,4,1,6,0,3
0.8614094694554912,1825.859,76,2,4,9,1,2
0.6802387933148619,1062.4768,2,1,4,10,3,1
0.9078256112286448,1865.7818,100,4,4,4,1,0
0.9000718296085883,1929.941,99,1,4,8,1,0
0.8862873144194758,1889.9129999999998,97,2,3,8,1,0
0.7006806445766784,1337.4538,97,1,4,8,3,0
0.8922589488604824,1938.95,100,4,3,4,0,1
0.849878299674303,1885.441,100,4,4,4,2,0
0.8993071401621624,1903.4114000000002,100,4,4,5,1,0
0.9294005577742792,1945.5818,86,4,4,2,1,0
0.893330848049899,1902.1955999999998,56,4,3,4,0,1
0.8047489359559756,1615.1932000000002,3,2,4,8,2,0
0.8012886444504531,1567.05,44,1,2,10,2,2
0.789599938952432,1524.782,8,1,4,1,2,2
0.8563538136450992,1847.7471999999998,28,4,4,1,3,0
0.7065130552491303,1289.5172,100,4,4,4,2,3
0.9145006283209746,1976.4671999999998,100,2,4,4,1,0
0.910166708616793,1893.6007999999997,100,3,4,4,1,0
0.8869556653184528,1932.1002,34,4,4,2,2,0
0.9078256112286448,1938.3534,92,4,4,4,1,0
0.9078256112286448,1874.1970000000001,63,4,4,4,1,0
0.917567742042199,1888.3362000000002,53,4,4,3,1,0
0.9664081023543899,1912.4356,100,4,4,1,0,0
0.9667630126456747,1906.1498,100,4,3,4,0,0
0.8135681363845297,1654.1816,100,4,3,4,1,2
0.7505081153199171,1578.8844000000001,100,4,4,4,3,0
0.9664081023543899,1889.7818,62,4,4,2,0,0
0.7592979718283888,1437.3948,1,3,2,2,3,2
0.8402503224273727,1808.8056000000001,10,1,1,1,3,1
0.8765180911476523,1851.217,37,1,3,6,1,1
0.8400362051994701,1759.4057999999998,31,2,3,3,2,1
0.9378279917542127,1992.395,3,4,1,7,0,1
0.7909395119589352,1663.861,1,3,3,2,3,1
0.7888715769191811,1732.3832000000002,2,4,1,7,0,3
0.8633526768783651,1823.2471999999998,28,4,1,2,2,1
0.9018870148605528,1885.8896,3,4,1,8,0,2
0.9378279917542127,1994.0436000000002,1,4,1,7,0,1
0.908522146611481,1955.4011999999998,4,2,1,3,0,1
0.9152834074839029,1926.4654000000003,1,3,2,4,1,0
0.9748611804577678,1976.4260000000002,37,1,3,10,0,0
0.790042806107955,1559.4202,21,3,4,8,2,2
0.8302124477860776,1776.3174,1,3,3,4,2,1
0.9061199310980059,2018.3070000000002,14,4,2,5,1,0
0.868957294044342,2060.5626,53,3,4,10,1,1
0.8381389566199446,1784.2444000000003,1,4,3,5,2,0
0.8577630369074069,1993.6626,6,4,3,1,3,0
0.8425323203284991,1857.4934,37,1,3,5,2,0
0.970160760748179,1983.2218,7,1,3,10,0,0
0.970160760748179,2026.7447999999997,37,3,3,10,0,0
0.9838441328992529,1945.6709999999998,54,1,2,9,0,0
0.9773495970695854,1941.5993999999998,1,1,2,9,0,0
0.9786751335588025,2062.5958,54,1,3,9,0,0
0.9734870059835133,2040.0879999999997,54,3,2,9,0,0
1.0,2176.4991999999997,54,1,1,9,0,0
0.9543198495965237,2005.5739999999998,54,3,1,9,0,1
1.0,2021.7527999999998,52,1,1,9,0,0
1.0,2139.9252,9,1,1,10,0,0
0.9759962420629394,2119.0296000000003,54,4,1,9,0,0
0.98387835001018,2023.8996,52,2,1,9,0,0
0.9759513680704577,1994.2628,52,1,4,9,0,0
0.7263122822788095,1556.7758000000001,1,1,1,6,3,0
0.98387835001018,2089.568,52,2,1,9,0,0
1.0,2122.7958,2,1,1,9,0,0
0.8162261868051484,1749.0829999999999,1,1,1,9,2,0
0.6878689536854128,1253.4494,52,1,4,9,3,0
1.0,2047.1538,52,1,1,1,0,0
0.9632082760826673,2002.4964,52,1,1,9,0,1
1.0,2045.041,3,1,1,9,0,0
0.9290481237319925,2085.5948,5,1,1,9,0,2
1.0,2145.486,52,1,1,8,0,0
0.8237099945046717,1961.2514000000003,5,4,3,9,1,3
0.8759288466014837,1901.1538,73,2,2,10,1,3
0.7462323292764658,1630.5092,76,3,2,4,3,1
0.7009494586921061,1434.8616,3,2,4,3,1,3
0.8133349249201103,1792.1580000000001,4,2,4,4,1,2
1.0,2093.9674,37,1,1,9,0,0
1.0,2117.2311999999997,52,1,1,8,0,0
1.0,1988.9029999999998,63,1,1,10,0,0
1.0,2004.2192,41,1,1,10,0,0
1.0,2011.2305999999996,36,1,1,10,0,0
0.9823751706643643,1953.1982,63,2,1,10,0,0
1.0,2050.4134,63,1,1,9,0,0
1.0,2121.04,63,1,1,9,0,0
0.9823751706643643,1974.2616000000003,63,2,1,10,0,0
1.0,2012.7864000000002,63,1,1,9,0,0
1.0,1966.2324,54,1,1,10,0,0
1.0,1986.9557999999997,74,1,1,10,0,0
1.0,2006.7364000000002,34,1,1,10,0,0
1.0,1961.3814000000002,74,1,1,10,0,0
1.0,2025.0218,30,1,1,10,0,0
0.98387835001018,2021.4808,54,2,1,10,0,0
1.0,2010.8906,64,1,1,10,0,0
1.0,2096.0526,74,1,1,10,0,1
1.0,2061.2583999999997,44,1,1,10,0,1
1.0,2039.9578000000001,74,1,1,9,0,0
0.9796979609783382,2016.2552,81,2,1,10,0,0
1.0,2072.4700000000003,90,1,1,10,0,0
1.0,2014.1642,59,1,1,10,0,0
1.0,2078.4706,91,1,1,10,0,0
1.0,1993.8836,15,1,1,10,0,0
0.8930132814229939,1933.691,74,1,1,10,1,0
1.0,1997.9347999999998,80,1,1,10,0,0
0.6926323948218233,1144.7892,1,1,1,10,3,0
0.9874222371832042,2028.1634,74,1,2,10,0,0
1.0,2014.4554,74,1,1,10,0,2
0.9833778030571414,1955.0260000000003,74,1,3,10,0,0
0.8930132814229939,1900.1232,74,1,1,10,1,0
1.0,2002.7612000000001,64,1,1,10,0,0
1.0,1989.1835999999998,92,1,1,10,0,0
1.0,1988.4602,74,1,1,9,0,0
0.8946810211293836,1846.9179999999997,4,4,3,4,0,1
0.7052896173338485,1308.3218000000002,3,1,2,7,3,1
0.6816321535873358,1064.5294,6,2,3,10,3,0
0.714238984777673,1379.7400000000002,20,1,4,4,1,3
0.970160760748179,1880.1680000000001,8,1,3,10,0,3
0.6926323948218233,1127.6978,74,1,1,10,3,0
0.971737555566438,1972.6738,74,4,1,10,0,0
1.0,1991.1133999999997,74,1,1,3,0,0
0.8095688716439009,1568.441,6,3,1,1,2,2
0.8222592656828253,1686.7812000000001,11,4,3,5,2,1
0.9294005577742792,1879.9692,1,1,4,2,1,0
0.8031181364922887,1554.5049999999999,2,2,2,1,0,2
0.8930132814229939,1889.236,74,1,1,10,1,0
1.0,1945.5646000000002,91,1,1,10,0,0
1.0,1961.9334,55,1,1,10,0,0
1.0,1990.3264,52,1,1,10,0,0
1.0,1959.5328000000002,53,1,1,10,0,0
0.8930132814229939,1894.8350000000003,82,1,1,10,1,0
1.0,1994.5703999999998,89,1,1,10,0,0
0.8930132814229939,1863.1634,91,1,1,10,1,0
1.0,1997.2900000000002,91,1,1,9,0,0
1.0,1986.0056,98,1,1,10,0,0
1.0,1957.9417999999998,92,1,1,10,0,0
1.0,1980.341,78,1,1,10,0,0
1.0,1962.1912,91,1,1,8,0,0
0.8930132814229939,1873.5588,91,1,1,10,1,0
0.8774709577143736,1855.9982,91,2,1,10,1,0
1.0,1968.7724000000003,48,1,1,10,0,0
