accuracy,perf,choose_cluster_threshold_0,choose_cluster_decision_0,choose_cluster_decision_1,assign_points_and_accumulate_threshold_0,assign_points_and_accumulate_decision_0,assign_points_and_accumulate_decision_1,run_kmeans_iterations_threshold_0,run_kmeans_iterations_decision_0,run_kmeans_iterations_decision_1
0.8206755889047354,84.151,15,0,3,13,4,2,2,4,4
0.8868725451669008,142.645,1,0,1,13,4,1,2,4,3
0.8867797816790081,99.045,10,0,1,13,4,2,23430,4,3
0.8837620455730796,106.582,10,0,1,13,3,3,2,4,3
0.8867797816790081,106.072,10,0,1,13,4,2,38,4,3
0.8852388333441018,267.34,10,0,1,13,0,2,23430,4,3
0.6562820903308062,136.233,10,2,4,13,4,2,23430,4,1
0.8027611614989386,84.97,10,4,1,17,4,0,23430,4,3
1.0,905.691,6,0,0,20,0,2,1000000,4,0
0.8861044254803276,150.642,6,0,1,1,4,2,23430,4,3
0.859957117247991,72.734,10,0,1,13,4,2,23430,4,4
0.9967130243997095,332.642,13,0,1,13,4,2,23430,4,0
0.9985523660998434,804.299,7,1,0,16,1,2,20881,3,1
0.6610860692437448,142.183,7,4,4,15,4,1,63,4,0
0.9350232433027572,323.313,20,0,4,9,1,2,6,0,2
0.7082333574471351,117.414,11,4,2,15,0,2,4097,2,3
0.8864695290835547,90.439,10,0,1,13,4,3,23430,4,3
0.859957117247991,70.891,10,0,1,13,4,2,16259,4,4
0.8033944939506759,87.768,10,0,3,13,2,2,23430,4,4
0.8867797816790081,101.24,10,1,0,13,4,2,6,4,3
0.8837620455730796,103.586,10,0,1,13,3,3,40123,4,3
0.8865334968252105,77.985,10,0,1,13,4,4,23430,4,3
0.8864695290835547,96.128,2,0,1,13,4,3,39414,4,3
0.8837620455730796,106.583,10,0,1,13,3,3,23430,4,3
0.8293603682276073,74.935,16,0,3,13,4,4,23430,4,3
0.859775905952142,60.483,2,0,0,13,4,4,23430,4,4
0.8865334968252105,79.795,18,0,1,13,4,4,23430,3,3
0.8865334968252105,79.599,17,0,1,13,4,4,23430,4,3
0.8484454950932376,503.684,12,3,0,9,3,0,2,4,0
0.8399595055794902,352.325,8,4,0,6,1,0,7115,4,2
0.9976670909045124,278.505,7,1,1,11,4,3,1219,4,0
0.6645553644150825,20.385,19,4,0,20,4,1,13413,3,4
0.9976670909045124,283.764,7,1,1,11,4,3,4,4,0
0.9976141270385762,291.326,7,1,1,6,4,3,1219,3,0
0.9960474518018735,255.213,7,1,1,11,4,4,1219,2,0
0.9976670909045124,278.983,17,1,1,11,4,3,1219,4,0
0.7088777206414467,119.688,20,3,0,1,3,1,494,1,3
0.8242611796489652,244.417,7,3,0,12,3,1,815,1,2
0.7033021775337045,154.227,9,3,4,4,1,4,9945,3,1
0.9970743306541633,476.452,14,1,0,15,3,1,26496,2,1
0.6669494162502323,50.433,2,0,4,2,2,3,11318,2,4
0.7760712647555914,51.845,16,2,1,3,3,3,81,2,4
0.7019223748100076,67.67,14,3,0,17,2,2,47,0,4
1.0,898.631,16,1,0,4,0,0,5735,3,1
0.8308577831165149,104.831,16,0,3,6,3,3,1,4,3
0.8045268172477174,194.788,7,2,0,4,2,0,286,0,4
0.8186572443010282,111.938,6,4,1,12,3,2,128192,0,3
0.8598170493828087,96.339,19,1,3,2,0,4,363469,0,4
0.7294738125461169,151.038,1,0,3,1,0,4,3,0,1
1.0,875.115,18,1,0,4,0,0,5735,3,1
1.0,876.978,16,1,0,6,0,0,5735,3,1
1.0,870.499,16,1,0,4,0,0,5735,4,1
1.0,834.066,17,1,0,2,0,0,115595,4,0
1.0,890.958,15,1,0,4,0,0,5735,4,1
1.0,874.194,16,1,0,4,0,0,6003,4,1
1.0,872.607,16,1,1,4,0,0,4699,4,1
1.0,852.572,19,1,0,2,0,0,115595,4,0
1.0,862.686,16,0,0,2,0,0,115595,4,0
1.0,848.128,18,1,0,2,0,0,115595,4,0
1.0,856.766,19,1,0,2,0,0,110398,4,0
1.0,850.923,17,0,0,2,0,0,115595,4,0
1.0,850.085,18,1,0,1,0,0,70635,4,0
1.0,857.525,17,1,0,2,0,0,115595,4,1
0.735654216011254,476.805,19,2,0,2,0,0,115595,4,0
0.7499636416697084,166.729,7,1,2,4,1,3,49,1,2
0.838381012509075,117.487,5,3,1,11,3,1,750641,1,4
0.7790130281297681,301.827,15,2,0,11,2,2,30100,2,0
0.8838565488134671,114.648,16,1,0,14,3,2,4,3,3
0.6614157870800834,198.096,20,4,0,14,2,0,1,2,1
1.0,860.781,17,1,0,2,0,0,10179,4,0
1.0,861.972,17,1,0,1,0,0,88094,4,0
1.0,872.184,17,1,0,3,0,1,115595,4,0
0.7506265015906358,80.867,7,1,2,4,2,2,2252,2,4
1.0,850.239,20,0,0,2,0,0,115595,4,1
1.0,856.196,14,1,0,1,0,0,115595,4,0
1.0,846.878,17,1,0,2,0,0,104001,4,0
0.7724135987044359,293.397,8,0,3,1,2,2,25037,4,1
1.0,897.089,15,1,1,20,1,0,106150,4,1
0.7152042340750179,130.643,7,4,3,20,1,2,277829,1,3
0.6648007626116796,31.328,12,4,4,19,3,0,1,0,4
0.7666489489399076,178.963,10,1,2,4,2,2,3089,3,2
1.0,854.886,17,1,0,2,0,0,115595,1,0
0.8591408325595031,217.829,17,1,0,2,0,0,115595,4,4
1.0,839.871,17,1,0,2,1,0,115595,4,0
0.8627649114267819,256.989,18,1,2,3,0,2,45656,2,2
0.7863951659412807,539.349,14,2,0,6,2,0,107,4,0
0.8260893208274074,193.292,16,0,2,5,2,2,76,4,2
0.7817967244298963,285.746,11,2,0,8,2,1,27114,2,2
1.0,1005.164,14,1,0,1,0,0,115595,4,0
1.0,889.651,16,1,0,3,0,0,115595,4,0
1.0,859.402,17,1,0,1,0,0,115595,4,0
1.0,895.065,15,1,0,2,1,0,95371,4,0
0.7822608287593017,323.4,12,2,0,4,1,0,1281,2,2
0.7796612961145182,153.958,16,2,0,4,2,2,682,2,2
0.9356030491592555,451.547,12,1,1,4,1,1,3594,2,2
0.9354948455389378,292.954,12,1,1,4,0,2,530,2,2
0.7098949984755847,371.252,20,2,1,15,1,4,2,4,1
0.8858212042361538,155.429,19,0,0,17,2,2,30062,3,3
0.8590335564463819,166.693,3,4,1,6,2,0,282594,3,4
0.6543921886885637,83.692,1,2,4,1,0,3,529,0,2
